,Age,DailyRate,Department,EducationField,Gender,MaritalStatus,MonthlyRate,OverTime,Bonus
0,41,1102,Sales,Life Sciences,Female,Single,19479,Yes,1947.9
1,49,279,Research & Development,Life Sciences,Male,Married,24907,No,2490.7
2,37,1373,Research & Development,Other,Male,Single,2396,Yes,239.6
3,33,1392,Research & Development,Life Sciences,Female,Married,23159,Yes,2315.9
4,27,591,Research & Development,Medical,Male,Married,16632,No,1663.2
5,32,1005,Research & Development,Life Sciences,Male,Single,11864,No,1186.4
6,59,1324,Research & Development,Medical,Female,Married,9964,Yes,996.4
7,30,1358,Research & Development,Life Sciences,Male,Divorced,13335,No,1333.5
8,38,216,Research & Development,Life Sciences,Male,Single,8787,No,878.7
9,36,1299,Research & Development,Medical,Male,Married,16577,No,1657.7
10,35,809,Research & Development,Medical,Male,Married,16479,No,1647.9
11,29,153,Research & Development,Life Sciences,Female,Single,12682,Yes,1268.2
12,31,670,Research & Development,Life Sciences,Male,Divorced,15170,No,1517.0
13,34,1346,Research & Development,Medical,Male,Divorced,8758,No,875.8
14,28,103,Research & Development,Life Sciences,Male,Single,12947,Yes,1294.7
15,29,1389,Research & Development,Life Sciences,Female,Divorced,10195,No,1019.5
16,32,334,Research & Development,Life Sciences,Male,Divorced,15053,Yes,1505.3
17,22,1123,Research & Development,Medical,Male,Divorced,7324,Yes,732.4
18,53,1219,Sales,Life Sciences,Female,Married,22021,No,2202.1
19,38,371,Research & Development,Life Sciences,Male,Single,4306,Yes,430.6
20,24,673,Research & Development,Other,Female,Divorced,8232,No,823.2
21,36,1218,Sales,Life Sciences,Male,Single,6986,No,698.6
22,34,419,Research & Development,Life Sciences,Female,Single,21293,No,2129.3
23,21,391,Research & Development,Life Sciences,Male,Single,19281,No,1928.1
24,34,699,Research & Development,Medical,Male,Single,17102,No,1710.2
25,53,1282,Research & Development,Other,Female,Divorced,10735,No,1073.5
26,32,1125,Research & Development,Life Sciences,Female,Single,4681,Yes,468.1
27,42,691,Sales,Marketing,Male,Married,21173,No,2117.3
28,44,477,Research & Development,Medical,Female,Married,2094,No,209.4
29,46,705,Sales,Marketing,Female,Single,22822,No,2282.2
30,33,924,Research & Development,Medical,Male,Single,6670,No,667.0
31,44,1459,Research & Development,Other,Male,Married,19121,Yes,1912.1
32,30,125,Research & Development,Medical,Male,Single,16117,No,1611.7
33,39,895,Sales,Technical Degree,Male,Married,3335,No,333.5
34,24,813,Research & Development,Medical,Male,Married,3020,Yes,302.0
35,43,1273,Research & Development,Medical,Female,Divorced,21923,No,2192.3
36,50,869,Sales,Marketing,Male,Married,3810,Yes,381.0
37,35,890,Sales,Marketing,Female,Married,9687,No,968.7
38,36,852,Research & Development,Life Sciences,Female,Married,13072,Yes,1307.2
39,33,1141,Sales,Life Sciences,Female,Married,3193,No,319.3
40,35,464,Research & Development,Other,Male,Divorced,10910,No,1091.0
41,27,1240,Research & Development,Life Sciences,Female,Divorced,19715,No,1971.5
42,26,1357,Research & Development,Life Sciences,Male,Single,10558,No,1055.8
43,27,994,Sales,Life Sciences,Male,Single,2975,No,297.5
44,30,721,Research & Development,Medical,Female,Single,10781,No,1078.1
45,41,1360,Research & Development,Technical Degree,Female,Married,16280,No,1628.0
46,34,1065,Sales,Marketing,Male,Single,10034,No,1003.4
47,37,408,Research & Development,Life Sciences,Male,Married,10227,No,1022.7
48,46,1211,Sales,Marketing,Male,Single,20445,Yes,2044.5
49,35,1229,Research & Development,Life Sciences,Male,Married,4892,No,489.2
50,48,626,Research & Development,Life Sciences,Male,Single,19294,Yes,1929.4
51,28,1434,Research & Development,Technical Degree,Male,Single,11179,Yes,1117.9
52,44,1488,Sales,Marketing,Female,Divorced,4009,Yes,400.9
53,35,1097,Research & Development,Medical,Male,Married,8302,Yes,830.2
54,26,1443,Sales,Marketing,Female,Married,21436,Yes,2143.6
55,33,515,Research & Development,Life Sciences,Female,Single,15146,Yes,1514.6
56,35,853,Sales,Life Sciences,Male,Married,11031,No,1103.1
57,35,1142,Research & Development,Medical,Female,Married,16002,Yes,1600.2
58,31,655,Research & Development,Life Sciences,Male,Divorced,9528,No,952.8
59,37,1115,Research & Development,Life Sciences,Male,Divorced,2689,No,268.9
60,32,427,Research & Development,Medical,Male,Married,10877,Yes,1087.7
61,38,653,Research & Development,Life Sciences,Female,Single,5456,No,545.6
62,50,989,Research & Development,Medical,Female,Divorced,16701,Yes,1670.1
63,59,1435,Sales,Life Sciences,Female,Single,2354,No,235.4
64,36,1223,Research & Development,Technical Degree,Female,Divorced,8202,No,820.2
65,55,836,Research & Development,Medical,Female,Divorced,19730,Yes,1973.0
66,36,1195,Research & Development,Life Sciences,Male,Single,22656,No,2265.6
67,45,1339,Research & Development,Life Sciences,Male,Divorced,18787,No,1878.7
68,35,664,Research & Development,Medical,Male,Married,5868,No,586.8
69,36,318,Research & Development,Medical,Male,Married,21777,Yes,2177.7
70,59,1225,Sales,Life Sciences,Female,Single,24668,No,2466.8
71,29,1328,Research & Development,Life Sciences,Male,Married,4956,No,495.6
72,31,1082,Research & Development,Medical,Male,Single,18775,No,1877.5
73,32,548,Research & Development,Life Sciences,Male,Married,7346,No,734.6
74,36,132,Research & Development,Life Sciences,Female,Married,22002,No,2200.2
75,31,746,Research & Development,Life Sciences,Female,Single,20682,No,2068.2
76,35,776,Sales,Marketing,Male,Single,23016,No,2301.6
77,45,193,Research & Development,Other,Male,Married,15067,Yes,1506.7
78,37,397,Research & Development,Medical,Male,Single,25258,No,2525.8
79,46,945,Human Resources,Medical,Male,Divorced,10425,Yes,1042.5
80,30,852,Research & Development,Life Sciences,Male,Married,15998,Yes,1599.8
81,35,1214,Research & Development,Medical,Male,Single,26278,No,2627.8
82,55,111,Sales,Life Sciences,Male,Married,18092,No,1809.2
83,38,573,Research & Development,Medical,Female,Divorced,15717,Yes,1571.7
84,34,1153,Research & Development,Medical,Male,Married,17736,No,1773.6
85,56,1400,Research & Development,Life Sciences,Male,Single,21698,No,2169.8
86,23,541,Sales,Technical Degree,Male,Divorced,9518,No,951.8
87,51,432,Research & Development,Life Sciences,Male,Married,18725,No,1872.5
88,30,288,Research & Development,Life Sciences,Male,Married,15830,No,1583.0
89,46,669,Sales,Medical,Male,Single,13596,No,1359.6
90,40,530,Research & Development,Life Sciences,Male,Married,14115,No,1411.5
91,51,632,Sales,Marketing,Male,Single,8423,Yes,842.3
92,30,1334,Sales,Medical,Female,Divorced,19760,Yes,1976.0
93,46,638,Research & Development,Medical,Male,Married,3142,Yes,314.2
94,32,1093,Sales,Medical,Male,Single,24301,No,2430.1
95,54,1217,Research & Development,Technical Degree,Female,Married,24001,No,2400.1
96,24,1353,Sales,Other,Female,Married,17519,No,1751.9
97,28,120,Sales,Medical,Male,Married,8863,No,886.3
98,58,682,Sales,Medical,Male,Single,24409,No,2440.9
99,44,489,Research & Development,Medical,Male,Married,25043,No,2504.3
100,37,807,Human Resources,Human Resources,Male,Divorced,23648,Yes,2364.8
101,32,827,Research & Development,Life Sciences,Male,Single,15178,No,1517.8
102,20,871,Research & Development,Life Sciences,Female,Single,19783,Yes,1978.3
103,34,665,Research & Development,Other,Female,Single,12482,No,1248.2
104,37,1040,Research & Development,Life Sciences,Male,Divorced,15850,No,1585.0
105,59,1420,Human Resources,Human Resources,Female,Married,21922,No,2192.2
106,50,1115,Research & Development,Life Sciences,Female,Married,9755,Yes,975.5
107,25,240,Sales,Marketing,Male,Single,26959,Yes,2695.9
108,25,1280,Research & Development,Medical,Male,Married,26897,No,2689.7
109,22,534,Research & Development,Medical,Female,Single,23785,No,2378.5
110,51,1456,Research & Development,Medical,Female,Single,25796,No,2579.6
111,34,658,Research & Development,Life Sciences,Male,Single,22887,Yes,2288.7
112,54,142,Human Resources,Human Resources,Female,Single,13871,Yes,1387.1
113,24,1127,Research & Development,Life Sciences,Male,Married,13257,No,1325.7
114,34,1031,Research & Development,Life Sciences,Female,Divorced,15000,No,1500.0
115,37,1189,Sales,Life Sciences,Male,Single,14506,No,1450.6
116,34,1354,Research & Development,Medical,Female,Single,5615,No,561.5
117,36,1467,Sales,Technical Degree,Female,Married,22952,No,2295.2
118,36,922,Research & Development,Life Sciences,Female,Divorced,2561,No,256.1
119,43,394,Sales,Life Sciences,Male,Married,19494,Yes,1949.4
120,30,1312,Research & Development,Life Sciences,Male,Divorced,22310,No,2231.0
121,33,750,Sales,Marketing,Male,Married,15480,No,1548.0
122,56,441,Research & Development,Life Sciences,Female,Married,4510,Yes,451.0
123,51,684,Research & Development,Life Sciences,Male,Single,6462,No,646.2
124,31,249,Sales,Life Sciences,Male,Married,20739,Yes,2073.9
125,26,841,Research & Development,Other,Female,Married,23300,No,2330.0
126,58,147,Research & Development,Medical,Female,Married,3465,No,346.5
127,19,528,Sales,Marketing,Male,Single,26820,Yes,2682.0
128,22,594,Research & Development,Technical Degree,Male,Married,19299,No,1929.9
129,49,470,Research & Development,Medical,Female,Married,5549,No,554.9
130,43,957,Research & Development,Medical,Female,Single,16090,No,1609.0
131,50,809,Sales,Marketing,Female,Single,6645,No,664.5
132,31,542,Sales,Life Sciences,Female,Married,24788,Yes,2478.8
133,41,802,Sales,Life Sciences,Male,Divorced,21196,Yes,2119.6
134,26,1355,Human Resources,Life Sciences,Female,Married,8916,No,891.6
135,36,216,Research & Development,Medical,Male,Divorced,2819,No,281.9
136,51,1150,Research & Development,Life Sciences,Male,Single,25150,No,2515.0
137,39,1329,Sales,Life Sciences,Female,Married,14590,No,1459.0
138,25,959,Sales,Life Sciences,Male,Married,24835,No,2483.5
139,30,1240,Human Resources,Human Resources,Male,Married,13982,Yes,1398.2
140,32,1033,Research & Development,Medical,Female,Single,10224,No,1022.4
141,45,1316,Research & Development,Medical,Male,Single,9752,No,975.2
142,38,364,Research & Development,Technical Degree,Female,Single,2302,Yes,230.2
143,30,438,Research & Development,Life Sciences,Female,Single,23910,No,2391.0
144,32,689,Sales,Medical,Male,Divorced,22812,No,2281.2
145,30,201,Research & Development,Technical Degree,Female,Divorced,10415,No,1041.5
146,30,1427,Research & Development,Medical,Male,Single,11162,No,1116.2
147,41,857,Research & Development,Life Sciences,Male,Divorced,12888,No,1288.8
148,41,933,Research & Development,Life Sciences,Male,Married,6961,No,696.1
149,19,1181,Research & Development,Medical,Female,Single,16102,No,1610.2
150,40,1395,Research & Development,Medical,Female,Divorced,8504,No,850.4
151,35,662,Sales,Marketing,Male,Married,11439,No,1143.9
152,53,1436,Sales,Marketing,Male,Married,16047,Yes,1604.7
153,45,194,Research & Development,Life Sciences,Male,Divorced,10901,No,1090.1
154,32,967,Sales,Marketing,Female,Single,15589,No,1558.9
155,29,1496,Research & Development,Technical Degree,Male,Married,26283,No,2628.3
156,51,1169,Research & Development,Medical,Male,Married,13983,No,1398.3
157,58,1145,Research & Development,Medical,Female,Married,11873,Yes,1187.3
158,40,630,Sales,Marketing,Male,Married,8552,No,855.2
159,34,303,Sales,Marketing,Female,Married,11314,No,1131.4
160,22,1256,Research & Development,Medical,Male,Married,11992,No,1199.2
161,27,691,Research & Development,Medical,Male,Divorced,5970,No,597.0
162,28,440,Research & Development,Medical,Male,Married,6672,No,667.2
163,57,334,Research & Development,Life Sciences,Male,Divorced,23402,Yes,2340.2
164,27,1450,Research & Development,Medical,Male,Divorced,25326,Yes,2532.6
165,50,1452,Research & Development,Life Sciences,Female,Single,17053,No,1705.3
166,41,465,Research & Development,Life Sciences,Male,Divorced,4609,No,460.9
167,30,1339,Sales,Life Sciences,Female,Married,8053,No,805.3
168,38,702,Sales,Life Sciences,Female,Single,12930,No,1293.0
169,32,120,Research & Development,Life Sciences,Male,Single,12430,No,1243.0
170,27,1157,Research & Development,Technical Degree,Male,Married,13364,Yes,1336.4
171,19,602,Sales,Technical Degree,Female,Single,20989,No,2098.9
172,36,1480,Research & Development,Medical,Male,Single,15062,No,1506.2
173,30,111,Research & Development,Medical,Male,Divorced,11012,No,1101.2
174,45,1268,Sales,Life Sciences,Female,Divorced,6319,Yes,631.9
175,56,713,Research & Development,Life Sciences,Female,Divorced,13939,Yes,1393.9
176,33,134,Research & Development,Life Sciences,Male,Single,10515,No,1051.5
177,19,303,Research & Development,Life Sciences,Male,Single,9241,No,924.1
178,46,526,Sales,Marketing,Female,Divorced,2137,No,213.7
179,38,1380,Research & Development,Life Sciences,Female,Single,6319,No,631.9
180,31,140,Research & Development,Medical,Female,Married,6984,Yes,698.4
181,34,629,Research & Development,Medical,Female,Single,5711,No,571.1
182,41,1356,Sales,Marketing,Female,Single,21728,Yes,2172.8
183,50,328,Research & Development,Medical,Male,Married,3425,No,342.5
184,53,1084,Research & Development,Medical,Female,Divorced,26250,No,2625.0
185,33,931,Research & Development,Medical,Female,Married,4673,No,467.3
186,40,989,Research & Development,Medical,Female,Married,6499,No,649.9
187,55,692,Research & Development,Medical,Male,Single,13339,No,1333.9
188,34,1069,Research & Development,Life Sciences,Male,Married,14074,No,1407.4
189,51,313,Research & Development,Medical,Female,Single,7192,No,719.2
190,52,699,Research & Development,Life Sciences,Male,Married,5678,No,567.8
191,27,894,Research & Development,Medical,Female,Single,11781,No,1178.1
192,35,556,Research & Development,Life Sciences,Male,Married,15497,Yes,1549.7
193,43,1344,Research & Development,Medical,Male,Divorced,5228,No,522.8
194,45,1195,Research & Development,Medical,Male,Married,20462,No,2046.2
195,37,290,Research & Development,Life Sciences,Male,Married,22977,Yes,2297.7
196,35,138,Research & Development,Medical,Female,Single,15986,No,1598.6
