fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ปารเมศ วิทยารักษ์สรรค์,32564,5,2026-02-07T16:49:10.564Z,44.39,1,46,#ff6412,พรรคประชาชน
พีรวุฒิ พิมพ์สมฤดี,14018,9,2026-02-07T16:49:14.267Z,19.11,2,27,#70c0fd,พรรคประชาธิปัตย์
ลลิดา เพริศวิวัฒนา,13661,1,2026-02-07T16:49:03.079Z,18.62,3,37,#131c5f,พรรคภูมิใจไทย
ญาณกิตติ์ ห่วงทรัพย์,5761,8,2026-02-07T16:49:13.129Z,7.85,4,9,#fe0000,พรรคเพื่อไทย
พลัฏฐ์ ศิริกุลพิสุทธิ์,1983,6,2026-02-07T16:49:11.214Z,2.7,5,6,#243180,พรรครวมไทยสร้างชาติ
แทนคุณ จิตต์อิสระ,1076,12,2026-02-07T16:49:14.795Z,1.47,6,44,#f3717b,พรรคโอกาสใหม่
ภัทรพล หมดมลทิน,968,7,2026-02-07T16:49:11.851Z,1.32,7,29,#36b54c,พรรคไทยภักดี
แสนสุข อุทยานินทร์,938,2,2026-02-07T16:49:06.598Z,1.28,8,11,#febd2f,พรรคเศรษฐกิจ
พิเชษฐ์ ไทยนิยม,601,11,2026-02-07T16:49:14.795Z,0.82,9,48,#7c26df,พรรคไทยสร้างไทย
กานต์ กิตติอำพน,472,16,2026-02-07T16:49:15.312Z,0.64,10,49,#f6ec4c,พรรคไทยก้าวใหม่
ธนะสิทธิ์ ล้อสุวรรณทีปต์,334,4,2026-02-07T16:49:09.009Z,0.46,11,7,#0ac107,พรรคพลวัต
อัครพล คฤหเดชรัตนา,235,3,2026-02-07T16:49:07.314Z,0.32,12,42,#44a26e,พรรคกล้าธรรม
วีรยุทธ ประกอบการ,164,10,2026-02-07T16:49:14.535Z,0.22,13,23,#293f8b,พรรคปวงชนไทย
อดัม ชินรัตนพิสิทธิ์,154,15,2026-02-07T16:49:15.052Z,0.21,14,35,#04685b,พรรครักชาติ
ประสงค์ ประสพโชค,146,17,2026-02-07T16:49:15.312Z,0.2,15,10,#006aee,พรรคทางเลือกใหม่
เลิศชาย สุจริตกุล,108,13,2026-02-07T16:49:15.052Z,0.15,16,24,#f80406,พรรควิชชั่นใหม่
มงคล เสมอภาพ,91,14,2026-02-07T16:49:15.052Z,0.12,17,8,#ee5e17,พรรคประชาธิปไตยใหม่
กิตติคุณ ชื่นแย้ม,80,18,2026-02-07T16:49:15.312Z,0.11,18,43,#096735,พรรคพลังประชารัฐ
