fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
อัครนันท์ กัณณ์กิตตินันท์,33177,5,2026-02-07T16:49:09.633Z,44.86,1,9,#fe0000,พรรคเพื่อไทย
ภูวนาถ รัศมีฤกษ์เศรษฐ์,23090,6,2026-02-07T16:49:11.214Z,31.22,2,46,#ff6412,พรรคประชาชน
กิตติพิชญ์ จันทร์สมบูรณ์,8503,1,2026-02-07T16:49:03.607Z,11.5,3,37,#131c5f,พรรคภูมิใจไทย
กำธร สร้อยพรรณา,2582,8,2026-02-07T16:49:13.708Z,3.49,4,6,#243180,พรรครวมไทยสร้างชาติ
อนุกูล แพรไพศาล,2450,4,2026-02-07T16:49:09.325Z,3.31,5,27,#70c0fd,พรรคประชาธิปัตย์
แดนสรวง กลิ่นสุคนธ์,1439,7,2026-02-07T16:49:11.851Z,1.95,6,11,#febd2f,พรรคเศรษฐกิจ
ธวัช จูอินทร์,1076,9,2026-02-07T16:49:14.267Z,1.45,7,23,#293f8b,พรรคปวงชนไทย
บุญฤทธิ์ ธรรมศร,892,2,2026-02-07T16:49:05.224Z,1.21,8,42,#44a26e,พรรคกล้าธรรม
ธนกร ทองใบ,464,3,2026-02-07T16:49:07.314Z,0.63,9,12,#eac33b,พรรคเสรีรวมไทย
ธัชกฤช หอละเอียด,280,10,2026-02-07T16:49:14.535Z,0.38,10,16,#2e2f94,พรรคพลังเพื่อไทย
