fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
วิรัช พิมพะนิตย์,20940,6,2026-02-07T16:49:11.851Z,40.41,1,9,#fe0000,พรรคเพื่อไทย
พีระพันธุ์ ดวงประทุม,14010,1,2026-02-07T16:49:03.607Z,27.04,2,46,#ff6412,พรรคประชาชน
ปภัทร เฮงไพบูลย์,10914,7,2026-02-07T16:49:12.470Z,21.06,3,43,#096735,พรรคพลังประชารัฐ
เทิดแผ่นดินทอง ธารชัย,2114,5,2026-02-07T16:49:09.941Z,4.08,4,37,#131c5f,พรรคภูมิใจไทย
ชัย คูสกุลรัตน์,944,8,2026-02-07T16:49:13.442Z,1.82,5,11,#febd2f,พรรคเศรษฐกิจ
ยาโกรคาน ปาทาน,869,9,2026-02-07T16:49:13.980Z,1.68,6,10,#006aee,พรรคทางเลือกใหม่
ปฐมาภรณ์ มงคลสินธุ์,709,3,2026-02-07T16:49:08.063Z,1.37,7,27,#70c0fd,พรรคประชาธิปัตย์
จักรินทร์ พิมรินทร์,493,2,2026-02-07T16:49:05.224Z,0.95,8,6,#243180,พรรครวมไทยสร้างชาติ
ประดิษฐ์ ฉัตรจรัสกูล,389,4,2026-02-07T16:49:08.376Z,0.75,9,42,#44a26e,พรรคกล้าธรรม
สาวิตรี ไชยสัตย์,284,11,2026-02-07T16:49:14.795Z,0.55,10,56,#2df928,พรรคเพื่อบ้านเมือง
ไสว เกื้ออนันต์,153,10,2026-02-07T16:49:14.267Z,0.3,11,31,#0641e7,พรรคประชากรไทย
