fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
รุ่งโรจน์ เย็นสบาย,38701,5,2026-02-07T16:49:09.633Z,44.25,1,9,#fe0000,พรรคเพื่อไทย
อาทิตยา พงษ์สมบัติ,21645,3,2026-02-07T16:49:07.314Z,24.75,2,42,#44a26e,พรรคกล้าธรรม
วุฒิรักษ์ แพงตาแก้ว,15698,8,2026-02-07T16:49:13.129Z,17.95,3,46,#ff6412,พรรคประชาชน
นันทวิชช์ วรรณเสน,6122,2,2026-02-07T16:49:06.180Z,7.0,4,45,#0c4da1,พรรคเป็นธรรม
จรูญ ยศธสาร,1541,1,2026-02-07T16:49:03.607Z,1.76,5,37,#131c5f,พรรคภูมิใจไทย
บุษบา แสนสีหา,1161,9,2026-02-07T16:49:14.267Z,1.33,6,29,#36b54c,พรรคไทยภักดี
วิษณุ วงษ์เสนา,708,6,2026-02-07T16:49:10.889Z,0.81,7,27,#70c0fd,พรรคประชาธิปัตย์
วุฒิกร แสงประดิษฐ์,701,7,2026-02-07T16:49:13.129Z,0.8,8,11,#febd2f,พรรคเศรษฐกิจ
ประภาส น้อยเลาหกุล,552,4,2026-02-07T16:49:08.376Z,0.63,9,49,#f6ec4c,พรรคไทยก้าวใหม่
ชัยนิวัฒน์ ไชยสา,517,11,2026-02-07T16:49:14.795Z,0.59,10,6,#243180,พรรครวมไทยสร้างชาติ
ประเคน โอดพิมพ์,110,10,2026-02-07T16:49:14.535Z,0.13,11,10,#006aee,พรรคทางเลือกใหม่
