fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
โอชิษฐ์ เกียรติก้องชูชัย,7812,2,2026-02-07T16:49:05.224Z,56.47,1,9,#fe0000,พรรคเพื่อไทย
นัฏฐิกา โล่ห์วีระ,3678,1,2026-02-07T16:49:04.214Z,26.58,2,46,#ff6412,พรรคประชาชน
วรวุฒิ จอดนอก,862,8,2026-02-07T16:49:13.129Z,6.23,3,37,#131c5f,พรรคภูมิใจไทย
เกวลิน ชัยวัฒนกุลวานิช,709,4,2026-02-07T16:49:09.009Z,5.12,4,42,#44a26e,พรรคกล้าธรรม
วันชัย ลือมงคล,185,10,2026-02-07T16:49:14.535Z,1.34,5,11,#febd2f,พรรคเศรษฐกิจ
วรพล พรมเมืองเก่า,163,3,2026-02-07T16:49:06.995Z,1.18,6,27,#70c0fd,พรรคประชาธิปัตย์
เกษมศักดิ์ อัครเพศ,145,9,2026-02-07T16:49:13.980Z,1.05,7,10,#006aee,พรรคทางเลือกใหม่
อาวุธ ปะเมโท,139,6,2026-02-07T16:49:11.214Z,1.0,8,6,#243180,พรรครวมไทยสร้างชาติ
อนุชา เจริญรักษ์,77,5,2026-02-07T16:49:10.564Z,0.56,9,22,#6a59a7,พรรคก้าวอิสระ
ดิเรก ผาสุขมูล,65,7,2026-02-07T16:49:12.470Z,0.47,10,49,#f6ec4c,พรรคไทยก้าวใหม่
