fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
เชาวลิตร แสงอุทัย,35060,5,2026-02-07T16:49:10.564Z,43.83,1,37,#131c5f,พรรคภูมิใจไทย
มนัสวิน จันทร์เจริญ,31463,7,2026-02-07T16:49:12.175Z,39.33,2,46,#ff6412,พรรคประชาชน
ชาญยุทธ เฮงตระกูล,4138,3,2026-02-07T16:49:07.677Z,5.17,3,9,#fe0000,พรรคเพื่อไทย
พจนารถ แก้วผลึก,3136,2,2026-02-07T16:49:05.703Z,3.92,4,27,#70c0fd,พรรคประชาธิปัตย์
รณเทพ อนุวัฒน์,1863,1,2026-02-07T16:49:04.719Z,2.33,5,11,#febd2f,พรรคเศรษฐกิจ
ชนะศักดิ์ รุ่งเสถียร,1082,9,2026-02-07T16:49:14.267Z,1.35,6,12,#eac33b,พรรคเสรีรวมไทย
กำพล ตั้งเอกชัย,1014,6,2026-02-07T16:49:11.851Z,1.27,7,43,#096735,พรรคพลังประชารัฐ
นิมิต ไมตรีวงศ์,961,8,2026-02-07T16:49:13.442Z,1.2,8,23,#293f8b,พรรคปวงชนไทย
สุธาพร บำรุงยา,653,10,2026-02-07T16:49:14.535Z,0.82,9,48,#7c26df,พรรคไทยสร้างไทย
อมรฒิพัฒน์ ภูบาล,628,4,2026-02-07T16:49:08.685Z,0.79,10,29,#36b54c,พรรคไทยภักดี
