fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ชลพฤกษ วงศ์อรุณนิยม,35930,1,2026-02-07T16:49:03.079Z,42.65,1,46,#ff6412,พรรคประชาชน
พเยาว์ เนียะแก้ว,35035,9,2026-02-07T16:49:14.267Z,41.59,2,37,#131c5f,พรรคภูมิใจไทย
ศิรวริศ สวนแก้ว,4286,4,2026-02-07T16:49:09.009Z,5.09,3,9,#fe0000,พรรคเพื่อไทย
ธนบดี จุติโสภณชัย,3523,8,2026-02-07T16:49:13.129Z,4.18,4,27,#70c0fd,พรรคประชาธิปัตย์
ลลิต กิจสมัคร,1712,2,2026-02-07T16:49:05.224Z,2.03,5,11,#febd2f,พรรคเศรษฐกิจ
เสรี สุขถาวร,1247,6,2026-02-07T16:49:11.538Z,1.48,6,42,#44a26e,พรรคกล้าธรรม
พรชัย วุ่นยรรยงค์,821,3,2026-02-07T16:49:07.314Z,0.97,7,29,#36b54c,พรรคไทยภักดี
ระวัง เนตรโพธิ์แก้ว,742,5,2026-02-07T16:49:09.941Z,0.88,8,43,#096735,พรรคพลังประชารัฐ
กฤษณะพัชร์ อชโชติพงศ์,736,7,2026-02-07T16:49:12.470Z,0.87,9,12,#eac33b,พรรคเสรีรวมไทย
ณัชธพงศ์ ชมเชย,211,10,2026-02-07T16:49:14.535Z,0.25,10,56,#2df928,พรรคเพื่อบ้านเมือง
