fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
มนพร เจริญศรี,48579,1,2026-02-07T16:49:03.607Z,59.3,1,9,#fe0000,พรรคเพื่อไทย
พิศาล บุพศิริ,16385,3,2026-02-07T16:49:07.314Z,20.0,2,46,#ff6412,พรรคประชาชน
ณพจน์ศกร ทรัพยสิทธิ์,9596,2,2026-02-07T16:49:06.598Z,11.71,3,37,#131c5f,พรรคภูมิใจไทย
สมพงษ์ มณีรัตน์,3465,9,2026-02-07T16:49:13.708Z,4.23,4,23,#293f8b,พรรคปวงชนไทย
กิติศักดิ์ จำปา,932,10,2026-02-07T16:49:14.535Z,1.14,5,10,#006aee,พรรคทางเลือกใหม่
ประยงค์ สดมุ้ย,906,5,2026-02-07T16:49:10.564Z,1.11,6,11,#febd2f,พรรคเศรษฐกิจ
ธนชาต ธนโชติพิพิธ,754,4,2026-02-07T16:49:08.685Z,0.92,7,42,#44a26e,พรรคกล้าธรรม
จารุนันท์ วรรณวงค์,675,6,2026-02-07T16:49:11.851Z,0.82,8,6,#243180,พรรครวมไทยสร้างชาติ
อินหวา ระมงคล,468,7,2026-02-07T16:49:12.802Z,0.57,9,27,#70c0fd,พรรคประชาธิปัตย์
สุริน ไตริน,157,8,2026-02-07T16:49:13.129Z,0.19,10,36,#27c500,พรรคไทยพร้อม
