fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ตติรัฐ รัตนเศรษฐ,29821,3,2026-02-07T16:49:07.314Z,38.27,1,37,#131c5f,พรรคภูมิใจไทย
พรเทพ ศิริโรจนกุล,28972,2,2026-02-07T16:49:05.224Z,37.18,2,9,#fe0000,พรรคเพื่อไทย
มาร์ค ปาทาน,14015,5,2026-02-07T16:49:10.255Z,17.99,3,46,#ff6412,พรรคประชาชน
วีรวิทย์ เชื้อจันอัด,1108,1,2026-02-07T16:49:03.079Z,1.42,4,42,#44a26e,พรรคกล้าธรรม
สมชัย ฉัตรพัฒนศิริ,1010,8,2026-02-07T16:49:13.708Z,1.3,5,43,#096735,พรรคพลังประชารัฐ
เรือโทขุนณรงค์ นวลแก้ว,918,10,2026-02-07T16:49:14.267Z,1.18,6,11,#febd2f,พรรคเศรษฐกิจ
บุญเลิศ ประสิทธิ์นอก,845,9,2026-02-07T16:49:14.267Z,1.08,7,56,#2df928,พรรคเพื่อบ้านเมือง
ภานุมาศ แก้วนอก,562,4,2026-02-07T16:49:08.685Z,0.72,8,27,#70c0fd,พรรคประชาธิปัตย์
เอนก ปักนอก,416,6,2026-02-07T16:49:11.851Z,0.53,9,40,#662e92,พรรคไทยธรรม
ณันชนันท์ หลอกลาง,255,7,2026-02-07T16:49:12.470Z,0.33,10,29,#36b54c,พรรคไทยภักดี
