fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
นันทวัน วิเชียร,36464,1,2026-02-07T16:49:03.607Z,51.0,1,37,#131c5f,พรรคภูมิใจไทย
เชาวน์วัศ เสนพงศ์,16950,3,2026-02-07T16:49:07.677Z,23.71,2,27,#70c0fd,พรรคประชาธิปัตย์
จรยุทธ มาศบำรุง,7295,5,2026-02-07T16:49:09.633Z,10.2,3,46,#ff6412,พรรคประชาชน
เจริญ ชินวงศ์,5630,4,2026-02-07T16:49:09.325Z,7.87,4,42,#44a26e,พรรคกล้าธรรม
นนทิวรรธน์ นนทภักดิ์,3183,2,2026-02-07T16:49:06.598Z,4.45,5,6,#243180,พรรครวมไทยสร้างชาติ
ทศพร แซ่ซิ้น,930,8,2026-02-07T16:49:13.708Z,1.3,6,11,#febd2f,พรรคเศรษฐกิจ
วิไลลักษณ์ คชพันธ์,596,6,2026-02-07T16:49:10.889Z,0.83,7,9,#fe0000,พรรคเพื่อไทย
ปัญโน หวานนุรักษ์,219,7,2026-02-07T16:49:12.802Z,0.31,8,7,#0ac107,พรรคพลวัต
สิทธิพงศ์ ชูวงค์,147,9,2026-02-07T16:49:13.980Z,0.21,9,19,#fe0000,พรรคสังคมประชาธิปไตยไทย
นพดล กาญจนรักษ์,82,10,2026-02-07T16:49:14.535Z,0.11,10,49,#f6ec4c,พรรคไทยก้าวใหม่
