fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
กรณ์ มีดี,28502,2,2026-02-07T16:49:05.703Z,40.08,1,46,#ff6412,พรรคประชาชน
ภาณุพงศ์ บรรดาศักดิ์,22506,7,2026-02-07T16:49:12.175Z,31.65,2,37,#131c5f,พรรคภูมิใจไทย
มนตรี ตั้งเจริญถาวร,12579,5,2026-02-07T16:49:10.255Z,17.69,3,9,#fe0000,พรรคเพื่อไทย
ธิติธร เลิศเกียรติมงคล,3305,8,2026-02-07T16:49:13.442Z,4.65,4,27,#70c0fd,พรรคประชาธิปัตย์
นนทพันธ์ อัครเจริญรัตน์,1293,1,2026-02-07T16:49:03.607Z,1.82,5,11,#febd2f,พรรคเศรษฐกิจ
ณัฐปัณฑ์ ดาวเรือง,1058,10,2026-02-07T16:49:14.535Z,1.49,6,6,#243180,พรรครวมไทยสร้างชาติ
ปุญชรัสมิ์ บุญมา,731,4,2026-02-07T16:49:09.009Z,1.03,7,7,#0ac107,พรรคพลวัต
ติณณ์ ธณกรณ์,546,6,2026-02-07T16:49:11.214Z,0.77,8,10,#006aee,พรรคทางเลือกใหม่
ดุษฎี เจริญสุข,298,11,2026-02-07T16:49:14.535Z,0.42,9,53,#1f2587,พรรคไทยพิทักษ์ธรรม
สุรเชษฐ ทองคำ,296,3,2026-02-07T16:49:07.677Z,0.42,10,42,#44a26e,พรรคกล้าธรรม
