fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
เจริญ อภิภัทรโกศล,20029,2,2026-02-07T16:49:05.224Z,29.58,1,46,#ff6412,พรรคประชาชน
ณัฐพงษ์ สุปริยศิลป์,14516,9,2026-02-07T16:49:14.267Z,21.44,2,9,#fe0000,พรรคเพื่อไทย
รัฐภูมิ ขันสลี,10898,1,2026-02-07T16:49:04.719Z,16.09,3,42,#44a26e,พรรคกล้าธรรม
ปภินพิทย์ พงศ์ศิริเมธี,5965,3,2026-02-07T16:49:07.314Z,8.81,4,37,#131c5f,พรรคภูมิใจไทย
ฉัตรชัย จิตตรง,5051,8,2026-02-07T16:49:13.442Z,7.46,5,43,#096735,พรรคพลังประชารัฐ
สุชิน ชยศักดิ์,5004,4,2026-02-07T16:49:09.009Z,7.39,6,49,#f6ec4c,พรรคไทยก้าวใหม่
มงคล วงศ์วรัณ,2567,7,2026-02-07T16:49:12.470Z,3.79,7,29,#36b54c,พรรคไทยภักดี
เรืองเดช จอมเมือง,1366,5,2026-02-07T16:49:09.633Z,2.02,8,27,#70c0fd,พรรคประชาธิปัตย์
ณัฐพงษ์ ไชยศิลป์,1189,6,2026-02-07T16:49:11.214Z,1.76,9,44,#f3717b,พรรคโอกาสใหม่
สัมฤทธิ์ คำรังษี,1126,10,2026-02-07T16:49:14.535Z,1.66,10,6,#243180,พรรครวมไทยสร้างชาติ
