fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สุริยา แป้นสุขา,25911,3,2026-02-07T16:49:07.677Z,36.65,1,37,#131c5f,พรรคภูมิใจไทย
อรอุมา บุญศิริ,19708,6,2026-02-07T16:49:10.889Z,27.88,2,42,#44a26e,พรรคกล้าธรรม
มลฤดี จันทร์แดง,14356,2,2026-02-07T16:49:05.224Z,20.31,3,9,#fe0000,พรรคเพื่อไทย
ราชภูมิ ภูยี่หวา,8334,5,2026-02-07T16:49:10.255Z,11.79,4,46,#ff6412,พรรคประชาชน
จิรารักษ์ ห้องจำปา,907,9,2026-02-07T16:49:13.980Z,1.28,5,6,#243180,พรรครวมไทยสร้างชาติ
วัฒนชัย ติธรรม,493,11,2026-02-07T16:49:14.795Z,0.7,6,43,#096735,พรรคพลังประชารัฐ
พรชัย ลมงาม,420,1,2026-02-07T16:49:03.607Z,0.59,7,47,#292679,พรรคประชาไทย
ปังทอง สีม่วง,216,4,2026-02-07T16:49:09.325Z,0.31,8,23,#293f8b,พรรคปวงชนไทย
วินัย ติยะบุตร,166,7,2026-02-07T16:49:11.851Z,0.23,9,27,#70c0fd,พรรคประชาธิปัตย์
เทพปัญชา ทุมโยมา,127,8,2026-02-07T16:49:13.708Z,0.18,10,49,#f6ec4c,พรรคไทยก้าวใหม่
สุนทร ปัญญาสิทธิ์,57,10,2026-02-07T16:49:14.535Z,0.08,11,8,#ee5e17,พรรคประชาธิปไตยใหม่
