fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ศักดิ์ ซารัมย์,47010,4,2026-02-07T16:49:08.376Z,73.1,1,37,#131c5f,พรรคภูมิใจไทย
นันทภพ ทองนุ่น,8372,2,2026-02-07T16:49:06.180Z,13.02,2,46,#ff6412,พรรคประชาชน
ประยูร เพ็งจันทร์,4760,1,2026-02-07T16:49:03.607Z,7.4,3,9,#fe0000,พรรคเพื่อไทย
พงษ์นรินทร์ ลิ้มโฆษิต,1051,3,2026-02-07T16:49:07.677Z,1.63,4,27,#70c0fd,พรรคประชาธิปัตย์
จุฑามาศ รักพินิจ,906,6,2026-02-07T16:49:11.538Z,1.41,5,6,#243180,พรรครวมไทยสร้างชาติ
ชัยชนะ กิ่งหว้ากลาง,750,10,2026-02-07T16:49:14.535Z,1.17,6,11,#febd2f,พรรคเศรษฐกิจ
สนม อุ่นสำโรง,589,9,2026-02-07T16:49:13.980Z,0.92,7,31,#0641e7,พรรคประชากรไทย
ภูวดล ศรีหามาตย์,344,7,2026-02-07T16:49:12.802Z,0.53,8,42,#44a26e,พรรคกล้าธรรม
สมพงษ์ พันธุ์ศรี,341,5,2026-02-07T16:49:10.564Z,0.53,9,23,#293f8b,พรรคปวงชนไทย
อภิชัย สิริสุข,182,8,2026-02-07T16:49:13.708Z,0.28,10,48,#7c26df,พรรคไทยสร้างไทย
