fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
เชตวัน เตือประโคน,30721,3,2026-02-07T16:49:08.063Z,41.64,1,46,#ff6412,พรรคประชาชน
อัยรินทร์ พันธุ์ฤทธิ์,12184,8,2026-02-07T16:49:13.129Z,16.51,2,42,#44a26e,พรรคกล้าธรรม
ภานุวัฒน์ ณ ระนอง,11079,2,2026-02-07T16:49:05.224Z,15.02,3,9,#fe0000,พรรคเพื่อไทย
ชัยยันต์ ผลสุวรรณ์,9357,10,2026-02-07T16:49:14.267Z,12.68,4,37,#131c5f,พรรคภูมิใจไทย
พันธุ์เทพ พัฒนณรงค์กรณ์,3886,5,2026-02-07T16:49:09.941Z,5.27,5,27,#70c0fd,พรรคประชาธิปัตย์
ชาญชัย ฉายบุ,1839,6,2026-02-07T16:49:11.214Z,2.49,6,11,#febd2f,พรรคเศรษฐกิจ
สุรเดช กองรัตน์,1392,7,2026-02-07T16:49:12.470Z,1.89,7,6,#243180,พรรครวมไทยสร้างชาติ
ศุภลักษณ์ สายยงค์,1091,9,2026-02-07T16:49:13.980Z,1.48,8,8,#ee5e17,พรรคประชาธิปไตยใหม่
ผดุง หน่องพงษ์,843,11,2026-02-07T16:49:14.795Z,1.14,9,43,#096735,พรรคพลังประชารัฐ
อดิศร แจ้งจันทร์,793,1,2026-02-07T16:49:03.607Z,1.07,10,49,#f6ec4c,พรรคไทยก้าวใหม่
เทพนิมิตร จิตรนคร,596,4,2026-02-07T16:49:08.376Z,0.81,11,35,#04685b,พรรครักชาติ
