fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
วิริยะ ทองผา,29345,4,2026-02-07T16:49:09.325Z,32.72,1,37,#131c5f,พรรคภูมิใจไทย
นนทภูมิ ตั้งปณิธานนท์,21666,3,2026-02-07T16:49:07.314Z,24.16,2,9,#fe0000,พรรคเพื่อไทย
ชายสิทธิ์ สุวรรณโชติ,17650,2,2026-02-07T16:49:05.703Z,19.68,3,46,#ff6412,พรรคประชาชน
พนมชัย พันธุ์พุทธ,17001,5,2026-02-07T16:49:10.564Z,18.95,4,42,#44a26e,พรรคกล้าธรรม
สมบูรณ์ ยงยุทธ,1050,9,2026-02-07T16:49:14.267Z,1.17,5,8,#ee5e17,พรรคประชาธิปไตยใหม่
ราตรี เจริญศรี,733,1,2026-02-07T16:49:03.607Z,0.82,6,27,#70c0fd,พรรคประชาธิปัตย์
สุเทียน ทองโสม,653,7,2026-02-07T16:49:12.470Z,0.73,7,12,#eac33b,พรรคเสรีรวมไทย
จิตต์ ศรีโยหะ มุกดาธนพงศ์,558,6,2026-02-07T16:49:11.851Z,0.62,8,43,#096735,พรรคพลังประชารัฐ
ชินกร ขวัญเมือง,519,10,2026-02-07T16:49:14.535Z,0.58,9,11,#febd2f,พรรคเศรษฐกิจ
ณัฐพล พรมวิชา,393,11,2026-02-07T16:49:14.795Z,0.44,10,6,#243180,พรรครวมไทยสร้างชาติ
สุนทร มีสิทธิ์,125,8,2026-02-07T16:49:13.129Z,0.14,11,56,#2df928,พรรคเพื่อบ้านเมือง
