fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ลัทธชัย โชคชัยวัฒนากร,35150,6,2026-02-07T16:49:11.851Z,47.21,1,37,#131c5f,พรรคภูมิใจไทย
ยุทธพงศ์ จรัสเสถียร,31887,5,2026-02-07T16:49:09.941Z,42.83,2,9,#fe0000,พรรคเพื่อไทย
จักรกริช ด่านแก้ว,5400,1,2026-02-07T16:49:03.607Z,7.25,3,46,#ff6412,พรรคประชาชน
กุลธร แก้ววิเศษ,1187,9,2026-02-07T16:49:13.980Z,1.59,4,11,#febd2f,พรรคเศรษฐกิจ
ภาสกร โยธะไชยสาร,185,2,2026-02-07T16:49:05.703Z,0.25,5,27,#70c0fd,พรรคประชาธิปัตย์
ปัญญา ภูเฮืองแก้ว,184,4,2026-02-07T16:49:09.325Z,0.25,6,26,#0059b6,พรรคคลองไทย
ประมวล พานมาตย์,155,11,2026-02-07T16:49:14.795Z,0.21,7,31,#0641e7,พรรคประชากรไทย
บังอร มุมกลาง,142,3,2026-02-07T16:49:06.995Z,0.19,8,6,#243180,พรรครวมไทยสร้างชาติ
ศิริพร หลิน,87,7,2026-02-07T16:49:12.802Z,0.12,9,42,#44a26e,พรรคกล้าธรรม
ธีราพัทธ์ พาณิชย์,43,8,2026-02-07T16:49:13.442Z,0.06,10,49,#f6ec4c,พรรคไทยก้าวใหม่
กิติศักดิ์ พิมดา,31,10,2026-02-07T16:49:14.535Z,0.04,11,10,#006aee,พรรคทางเลือกใหม่
