fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ชญาภา สินธุไพร,24500,6,2026-02-07T16:49:11.214Z,31.6,1,9,#fe0000,พรรคเพื่อไทย
ธนชัย สินธุไพร,22137,9,2026-02-07T16:49:13.980Z,28.55,2,37,#131c5f,พรรคภูมิใจไทย
นราเอก คำสนาม,18532,1,2026-02-07T16:49:04.214Z,23.9,3,48,#7c26df,พรรคไทยสร้างไทย
พัฒนา พระไชยบุญ,10462,8,2026-02-07T16:49:13.442Z,13.49,4,46,#ff6412,พรรคประชาชน
สุพล พละสุ,636,4,2026-02-07T16:49:09.009Z,0.82,5,11,#febd2f,พรรคเศรษฐกิจ
ฐิติพงศ์ พันธุ์พาณิชย์,359,2,2026-02-07T16:49:05.703Z,0.46,6,6,#243180,พรรครวมไทยสร้างชาติ
อรุณทิพย์ สุวรรณนันท์,272,3,2026-02-07T16:49:06.995Z,0.35,7,43,#096735,พรรคพลังประชารัฐ
พัฒนพงศ์ แก้วแสงใส,235,5,2026-02-07T16:49:10.564Z,0.3,8,7,#0ac107,พรรคพลวัต
สุดาวรรณ์ ดาวเรือง,233,7,2026-02-07T16:49:12.175Z,0.3,9,27,#70c0fd,พรรคประชาธิปัตย์
ศักดิ์ชัย ราชาวงค์,174,10,2026-02-07T16:49:14.535Z,0.22,10,12,#eac33b,พรรคเสรีรวมไทย
