fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
นรินทร์ คลังผา,35960,8,2026-02-07T16:49:13.442Z,40.53,1,37,#131c5f,พรรคภูมิใจไทย
สาธิต ทวีผล,20781,11,2026-02-07T16:49:14.795Z,23.42,2,46,#ff6412,พรรคประชาชน
สิทธิชัย คัตตะพันธ์,14022,10,2026-02-07T16:49:14.267Z,15.8,3,44,#f3717b,พรรคโอกาสใหม่
อุบลศักดิ์ บัวหลวงงาม,9070,9,2026-02-07T16:49:13.980Z,10.22,4,9,#fe0000,พรรคเพื่อไทย
ประทวน สุทธิอำนวยเดช,1880,7,2026-02-07T16:49:11.851Z,2.12,5,11,#febd2f,พรรคเศรษฐกิจ
ปวีณา วัชราวรกุล,1515,6,2026-02-07T16:49:11.538Z,1.71,6,42,#44a26e,พรรคกล้าธรรม
พิชัย เกียรติวินัยสกุล,1424,3,2026-02-07T16:49:07.314Z,1.6,7,43,#096735,พรรคพลังประชารัฐ
ยุวภพ กระเป๋าทอง,1252,2,2026-02-07T16:49:05.703Z,1.41,8,27,#70c0fd,พรรคประชาธิปัตย์
เจตน์สฤษฎิ์ ปัญญาอัศวนิรัญ,1231,4,2026-02-07T16:49:08.685Z,1.39,9,6,#243180,พรรครวมไทยสร้างชาติ
ศรีรัตน์ ฤกษ์พิชัย,1063,1,2026-02-07T16:49:03.079Z,1.2,10,48,#7c26df,พรรคไทยสร้างไทย
ภัทรฤทัย วรปัญญา,537,5,2026-02-07T16:49:10.564Z,0.61,11,23,#293f8b,พรรคปวงชนไทย
