fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
วิทวิสิทธิ์ ปันสวนปลูก,54610,1,2026-02-07T16:49:03.079Z,52.8,1,46,#ff6412,พรรคประชาชน
ชัยณรงค์ ภู่พิสิฐ,24334,8,2026-02-07T16:49:13.129Z,23.53,2,9,#fe0000,พรรคเพื่อไทย
ยุทธพงศ์ ไชยศร,7082,3,2026-02-07T16:49:07.677Z,6.85,3,37,#131c5f,พรรคภูมิใจไทย
พัชราภรณ์ เอื้องฟ้า,6163,4,2026-02-07T16:49:08.685Z,5.96,4,27,#70c0fd,พรรคประชาธิปัตย์
ประกอบ ยอดยา,4032,6,2026-02-07T16:49:11.538Z,3.9,5,42,#44a26e,พรรคกล้าธรรม
สุริยา บุญนาคค้า,2728,9,2026-02-07T16:49:13.980Z,2.64,6,12,#eac33b,พรรคเสรีรวมไทย
สุวสันต์ จันทร์ตาธรรม,2198,5,2026-02-07T16:49:09.633Z,2.13,7,11,#febd2f,พรรคเศรษฐกิจ
ชวิน คำบุญเรือง,1281,7,2026-02-07T16:49:12.175Z,1.24,8,6,#243180,พรรครวมไทยสร้างชาติ
ณัฏฐชัย วงค์ชัยรุ่งเรือง,722,2,2026-02-07T16:49:06.180Z,0.7,9,49,#f6ec4c,พรรคไทยก้าวใหม่
สมบัติ ใจแจ่ม,279,10,2026-02-07T16:49:14.535Z,0.27,10,24,#f80406,พรรควิชชั่นใหม่
