fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ธนา กิจไพบูลย์ชัย,49781,4,2026-02-07T16:49:08.685Z,67.71,1,37,#131c5f,พรรคภูมิใจไทย
จำลอง บุญชม,8930,7,2026-02-07T16:49:12.802Z,12.15,2,46,#ff6412,พรรคประชาชน
ภีรวุฒิ บุญสุข,7885,5,2026-02-07T16:49:09.633Z,10.72,3,9,#fe0000,พรรคเพื่อไทย
ปัณณวิชญ์ โหตระไวศยะ,2818,2,2026-02-07T16:49:05.703Z,3.83,4,43,#096735,พรรคพลังประชารัฐ
สมจิตร ช่วยพันธ์,1547,9,2026-02-07T16:49:14.267Z,2.1,5,11,#febd2f,พรรคเศรษฐกิจ
ธีรวัฒน์ คำศรี,1017,3,2026-02-07T16:49:08.063Z,1.38,6,27,#70c0fd,พรรคประชาธิปัตย์
สุรณัฐ แนบเนียม,981,1,2026-02-07T16:49:03.079Z,1.33,7,42,#44a26e,พรรคกล้าธรรม
โดม ศรีศรุติกุล,329,6,2026-02-07T16:49:10.889Z,0.45,8,8,#ee5e17,พรรคประชาธิปไตยใหม่
นครชัย โพธิ์ขาว,122,10,2026-02-07T16:49:14.267Z,0.17,9,31,#0641e7,พรรคประชากรไทย
นิพนธ์ บุษราคัมวงศ์,111,8,2026-02-07T16:49:13.129Z,0.15,10,59,#000000,พรรครวมพลัง
