fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สิรภพ สมผล,25107,6,2026-02-07T16:49:11.851Z,30.17,1,42,#44a26e,พรรคกล้าธรรม
พินิตเมธ ทีฆธนานนท์,21567,1,2026-02-07T16:49:03.607Z,25.91,2,37,#131c5f,พรรคภูมิใจไทย
ตวงสิทธิ์ พงษ์พิศ,17844,4,2026-02-07T16:49:08.376Z,21.44,3,46,#ff6412,พรรคประชาชน
ตวงภัทร ตีรสวัสดิชัย,15370,5,2026-02-07T16:49:10.564Z,18.47,4,9,#fe0000,พรรคเพื่อไทย
วิชิต แก้วกัญญา,1016,7,2026-02-07T16:49:13.129Z,1.22,5,11,#febd2f,พรรคเศรษฐกิจ
เสน่ห์ เพ็ชร์รุ่ง,733,3,2026-02-07T16:49:07.677Z,0.88,6,6,#243180,พรรครวมไทยสร้างชาติ
ยุพาวรรณ จักรพิมพ์,707,2,2026-02-07T16:49:05.703Z,0.85,7,27,#70c0fd,พรรคประชาธิปัตย์
บุญญามี วงค์ศรีดา,695,9,2026-02-07T16:49:14.267Z,0.84,8,10,#006aee,พรรคทางเลือกใหม่
ไชยสนิท พานาดา,101,10,2026-02-07T16:49:14.535Z,0.12,9,56,#2df928,พรรคเพื่อบ้านเมือง
อภิวัฒน์ มีชัย,86,8,2026-02-07T16:49:13.129Z,0.1,10,43,#096735,พรรคพลังประชารัฐ
