fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
จูรี นุ่มแก้ว,30686,1,2026-02-07T16:49:04.719Z,41.16,1,27,#70c0fd,พรรคประชาธิปัตย์
สุภัทร ฮาสุวรรณกิจ,21162,5,2026-02-07T16:49:09.941Z,28.39,2,46,#ff6412,พรรคประชาชน
ศาสตรา ศรีปาน,17740,3,2026-02-07T16:49:06.995Z,23.8,3,37,#131c5f,พรรคภูมิใจไทย
พัฒนวุธ อังคะนาวิน,2970,2,2026-02-07T16:49:06.180Z,3.98,4,11,#febd2f,พรรคเศรษฐกิจ
อรรถชาญ เชาวน์วานิชย์,656,4,2026-02-07T16:49:09.325Z,0.88,5,9,#fe0000,พรรคเพื่อไทย
มานพ เพ็งชุม,518,6,2026-02-07T16:49:10.889Z,0.69,6,42,#44a26e,พรรคกล้าธรรม
ประกอบ อ่ำปลอด,428,9,2026-02-07T16:49:14.267Z,0.57,7,6,#243180,พรรครวมไทยสร้างชาติ
ธนพล มะโน,214,7,2026-02-07T16:49:12.470Z,0.29,8,29,#36b54c,พรรคไทยภักดี
วิชัย วิชยานฤพล,93,10,2026-02-07T16:49:14.535Z,0.12,9,49,#f6ec4c,พรรคไทยก้าวใหม่
ธาราดร พรหมสุทธิ์,81,8,2026-02-07T16:49:13.129Z,0.11,10,43,#096735,พรรคพลังประชารัฐ
