fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ชนสิษฎ์ ยอดฉิม,43764,2,2026-02-07T16:49:06.598Z,52.44,1,46,#ff6412,พรรคประชาชน
กรวัฒน์ หันประดิษฐ์,14169,7,2026-02-07T16:49:11.851Z,16.98,2,9,#fe0000,พรรคเพื่อไทย
พิมพ์พรรณ พึ่งบุญ,13817,9,2026-02-07T16:49:14.267Z,16.56,3,37,#131c5f,พรรคภูมิใจไทย
ภูมเรศ จุลโสด,5319,4,2026-02-07T16:49:08.685Z,6.37,4,27,#70c0fd,พรรคประชาธิปัตย์
ธนากร ผดาศรี,1727,1,2026-02-07T16:49:04.719Z,2.07,5,44,#f3717b,พรรคโอกาสใหม่
ปรัชญา สมบูรณ์,1589,5,2026-02-07T16:49:10.255Z,1.9,6,6,#243180,พรรครวมไทยสร้างชาติ
เบญจวรรณ์ จารุเพ็ญพูนผล,1018,11,2026-02-07T16:49:14.795Z,1.22,7,43,#096735,พรรคพลังประชารัฐ
ฐาพล ณ น่าน,652,3,2026-02-07T16:49:08.063Z,0.78,8,28,#34398b,พรรคไทยก้าวหน้า
อดุลย์ สุนทราวงศ์,628,6,2026-02-07T16:49:11.851Z,0.75,9,42,#44a26e,พรรคกล้าธรรม
อภิชิต เสมศรี,424,10,2026-02-07T16:49:14.535Z,0.51,10,10,#006aee,พรรคทางเลือกใหม่
ไพรัตน์ สำเภาทอง,352,8,2026-02-07T16:49:13.708Z,0.42,11,23,#293f8b,พรรคปวงชนไทย
