fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ปัญญา ชวนบุญ,40131,1,2026-02-07T16:49:04.214Z,55.33,1,37,#131c5f,พรรคภูมิใจไทย
อานนท์ งามดอกไม้,20625,6,2026-02-07T16:49:11.851Z,28.43,2,46,#ff6412,พรรคประชาชน
ประยงค์ นอบน้อม,4351,4,2026-02-07T16:49:08.376Z,6.0,3,9,#fe0000,พรรคเพื่อไทย
ณตฤณ สุริวงษ์,2636,7,2026-02-07T16:49:12.175Z,3.63,4,42,#44a26e,พรรคกล้าธรรม
อภินันท์ หวันประวัติ,1588,8,2026-02-07T16:49:13.708Z,2.19,5,27,#70c0fd,พรรคประชาธิปัตย์
สุประเสริฐ ชาวบ้านเกาะ,1205,5,2026-02-07T16:49:09.633Z,1.66,6,11,#febd2f,พรรคเศรษฐกิจ
เอนก กุลกรรณ์,596,2,2026-02-07T16:49:06.598Z,0.82,7,48,#7c26df,พรรคไทยสร้างไทย
ศรายุทธ ศรีนิเวศน์,595,9,2026-02-07T16:49:13.708Z,0.82,8,43,#096735,พรรคพลังประชารัฐ
ณัฐภัทร์ จุลสวัสดิ์,469,3,2026-02-07T16:49:06.995Z,0.65,9,44,#f3717b,พรรคโอกาสใหม่
วัลลภ แป้นทอง,338,10,2026-02-07T16:49:14.267Z,0.47,10,1,#e41d24,พรรคไทยทรัพย์ทวี
