fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ณัฏฐพล จรัสรพีพงษ์,50102,7,2026-02-07T16:49:12.175Z,59.58,1,37,#131c5f,พรรคภูมิใจไทย
ชูชัย มุ่งเจริญพร,16027,5,2026-02-07T16:49:10.564Z,19.06,2,9,#fe0000,พรรคเพื่อไทย
พงศธร ลักขษร,13454,3,2026-02-07T16:49:06.995Z,16.0,3,46,#ff6412,พรรคประชาชน
วิโรจน์ ดีใจ,1043,2,2026-02-07T16:49:05.224Z,1.24,4,11,#febd2f,พรรคเศรษฐกิจ
พิเชษฐ์ ภูแก้ว,989,9,2026-02-07T16:49:13.980Z,1.18,5,6,#243180,พรรครวมไทยสร้างชาติ
มานพ แสงดำ,899,6,2026-02-07T16:49:10.889Z,1.07,6,27,#70c0fd,พรรคประชาธิปัตย์
ธุมากร แซ่โง้ว,579,1,2026-02-07T16:49:04.214Z,0.69,7,42,#44a26e,พรรคกล้าธรรม
วิทยา แก้วเหลี่ยม,443,8,2026-02-07T16:49:13.129Z,0.53,8,8,#ee5e17,พรรคประชาธิปไตยใหม่
ณรงค์ มุตตะโสภา,433,4,2026-02-07T16:49:09.325Z,0.51,9,43,#096735,พรรคพลังประชารัฐ
นาวา ชิดชอบ,118,10,2026-02-07T16:49:14.535Z,0.14,10,23,#293f8b,พรรคปวงชนไทย
