fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
รุ่งเพชร ศรีกาญจนา,34756,3,2026-02-07T16:49:07.314Z,46.17,1,9,#fe0000,พรรคเพื่อไทย
ไชยา พรหมา,15071,7,2026-02-07T16:49:12.802Z,20.02,2,42,#44a26e,พรรคกล้าธรรม
นิติภูมิ ติวทอง,13907,4,2026-02-07T16:49:09.009Z,18.47,3,46,#ff6412,พรรคประชาชน
ชญาน์นันท์ พิมพ์กิรติ,7258,1,2026-02-07T16:49:04.214Z,9.64,4,37,#131c5f,พรรคภูมิใจไทย
ณัฐนันท์ พรมนิล,1718,9,2026-02-07T16:49:14.267Z,2.28,5,11,#febd2f,พรรคเศรษฐกิจ
ทรงศักดิ์ ศิริสถิตย์,792,6,2026-02-07T16:49:11.851Z,1.05,6,43,#096735,พรรคพลังประชารัฐ
สยามรัฐ ศรีบัวเผื่อน,762,2,2026-02-07T16:49:06.180Z,1.01,7,27,#70c0fd,พรรคประชาธิปัตย์
วุฒิพงษ์ ราชโยธา,364,11,2026-02-07T16:49:14.795Z,0.48,8,49,#f6ec4c,พรรคไทยก้าวใหม่
ประสิทธิ์ พลศักดิ์ขวา,239,8,2026-02-07T16:49:13.442Z,0.32,9,52,#01237d,พรรคเครือข่ายชาวนาแห่งประเทศไทย
ชัยวัฒน์ มูลแก้ว,237,5,2026-02-07T16:49:10.564Z,0.31,10,6,#243180,พรรครวมไทยสร้างชาติ
วาสนา ดอกเข็ม,179,10,2026-02-07T16:49:14.535Z,0.24,11,8,#ee5e17,พรรคประชาธิปไตยใหม่
