fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สุภีรภัทร ภูมิภักดิ์,36105,6,2026-02-07T16:49:11.851Z,53.42,1,37,#131c5f,พรรคภูมิใจไทย
อนุเทน สีดาอุบล,13396,3,2026-02-07T16:49:07.314Z,19.82,2,46,#ff6412,พรรคประชาชน
เกรียงศักดิ์ ฝ้ายสีงาม,11944,8,2026-02-07T16:49:13.442Z,17.67,3,9,#fe0000,พรรคเพื่อไทย
ภูชิต อุ่นเที่ยว,1780,9,2026-02-07T16:49:13.980Z,2.63,4,42,#44a26e,พรรคกล้าธรรม
นวคม เสมา,1656,5,2026-02-07T16:49:10.255Z,2.45,5,11,#febd2f,พรรคเศรษฐกิจ
อร่าม ศรีด้วง,802,7,2026-02-07T16:49:12.802Z,1.19,6,27,#70c0fd,พรรคประชาธิปัตย์
ชีวรัตน์ อุปนันท์,695,4,2026-02-07T16:49:08.685Z,1.03,7,49,#f6ec4c,พรรคไทยก้าวใหม่
ศิริพร แสงจันทร์,606,1,2026-02-07T16:49:03.607Z,0.9,8,8,#ee5e17,พรรคประชาธิปไตยใหม่
ภพ สมศรีโหน่ง,379,2,2026-02-07T16:49:06.180Z,0.56,9,43,#096735,พรรคพลังประชารัฐ
นพดล สุวรรณชมภู,224,10,2026-02-07T16:49:14.535Z,0.33,10,6,#243180,พรรครวมไทยสร้างชาติ
