fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ณรงค์ชัย วีระกุล,33858,5,2026-02-07T16:49:10.564Z,42.32,1,21,#2a0b73,พรรคไทรวมพลัง
วุฒิพงษ์ นามบุตร,31303,1,2026-02-07T16:49:04.214Z,39.12,2,42,#44a26e,พรรคกล้าธรรม
ปรีชญา ฉ่ำมณี,8632,4,2026-02-07T16:49:08.376Z,10.79,3,46,#ff6412,พรรคประชาชน
ประสพ สารสมัคร,2807,3,2026-02-07T16:49:08.063Z,3.51,4,9,#fe0000,พรรคเพื่อไทย
ประเสริฐ เผ่าพันธ์,1534,2,2026-02-07T16:49:06.180Z,1.92,5,37,#131c5f,พรรคภูมิใจไทย
เจริญชัย คำแฝง,776,9,2026-02-07T16:49:13.980Z,0.97,6,11,#febd2f,พรรคเศรษฐกิจ
ณฐพร บุญประสิทธิ์,443,8,2026-02-07T16:49:13.442Z,0.55,7,27,#70c0fd,พรรคประชาธิปัตย์
เรืออากาศตรีประจวบ ทรัพย์สะอาด,268,7,2026-02-07T16:49:12.470Z,0.33,8,43,#096735,พรรคพลังประชารัฐ
วิทยา ครองยุติ,260,6,2026-02-07T16:49:11.851Z,0.32,9,8,#ee5e17,พรรคประชาธิปไตยใหม่
ธัชชัย คมขำ,128,10,2026-02-07T16:49:14.267Z,0.16,10,49,#f6ec4c,พรรคไทยก้าวใหม่
