fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สุธีระพงษ์ วันไชยธนวงศ์,31482,6,2026-02-07T16:49:10.889Z,37.11,1,42,#44a26e,พรรคกล้าธรรม
สง่า พรมเมือง,23694,8,2026-02-07T16:49:13.708Z,27.93,2,9,#fe0000,พรรคเพื่อไทย
สุทัศน์ ยาละ,20823,2,2026-02-07T16:49:05.703Z,24.54,3,46,#ff6412,พรรคประชาชน
มิรันตี บุญแก้ว,2432,7,2026-02-07T16:49:12.175Z,2.87,4,44,#f3717b,พรรคโอกาสใหม่
เสกสรรค์ เชื้อเมืองพาน,2172,3,2026-02-07T16:49:07.677Z,2.56,5,37,#131c5f,พรรคภูมิใจไทย
อรทัย บัวศรี,1592,9,2026-02-07T16:49:14.267Z,1.88,6,31,#0641e7,พรรคประชากรไทย
ดอน สมควร,1075,1,2026-02-07T16:49:03.079Z,1.27,7,27,#70c0fd,พรรคประชาธิปัตย์
ทนงศักดิ์ ศรีทองจันทร์,616,10,2026-02-07T16:49:14.535Z,0.73,8,11,#febd2f,พรรคเศรษฐกิจ
บุญเกิด ร่องแก้ว,582,4,2026-02-07T16:49:08.685Z,0.69,9,6,#243180,พรรครวมไทยสร้างชาติ
เสรี วังแง่,371,5,2026-02-07T16:49:09.941Z,0.44,10,7,#0ac107,พรรคพลวัต
