fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
พุธิตา ชัยอนันต์,42345,6,2026-02-07T16:49:10.889Z,45.07,1,46,#ff6412,พรรคประชาชน
ภานุ เจริญสุข,20501,4,2026-02-07T16:49:09.009Z,21.82,2,9,#fe0000,พรรคเพื่อไทย
โสภณ โกชุม,16083,8,2026-02-07T16:49:13.708Z,17.12,3,42,#44a26e,พรรคกล้าธรรม
ศรัณญ์ ใจคำ,5948,1,2026-02-07T16:49:03.079Z,6.33,4,37,#131c5f,พรรคภูมิใจไทย
จิรวัฒน์ อริยคงพันธุ์,2663,7,2026-02-07T16:49:12.802Z,2.83,5,27,#70c0fd,พรรคประชาธิปัตย์
ธนกฤต การบูรณ์,1732,9,2026-02-07T16:49:14.267Z,1.84,6,24,#f80406,พรรควิชชั่นใหม่
กิ่งกาญจน์ ณ เชียงใหม่,1232,2,2026-02-07T16:49:06.598Z,1.31,7,22,#6a59a7,พรรคก้าวอิสระ
สุนทร ชัยศรีอ้าย,1197,3,2026-02-07T16:49:08.063Z,1.27,8,11,#febd2f,พรรคเศรษฐกิจ
ศรัณย์ แสนพรหม,1021,10,2026-02-07T16:49:14.535Z,1.09,9,6,#243180,พรรครวมไทยสร้างชาติ
ชาญชัย ชัยมงคล,440,12,2026-02-07T16:49:15.052Z,0.47,10,49,#f6ec4c,พรรคไทยก้าวใหม่
บุญฤทธิ์ มูลเฟย,353,11,2026-02-07T16:49:14.795Z,0.38,11,31,#0641e7,พรรคประชากรไทย
ประเสริฐ ทรงคำ,289,5,2026-02-07T16:49:09.633Z,0.31,12,43,#096735,พรรคพลังประชารัฐ
ภัทรพรรณ เหล่าสถิรวงค์,158,13,2026-02-07T16:49:15.052Z,0.17,13,23,#293f8b,พรรคปวงชนไทย
