fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ยุพราช บัวอินทร์,38334,4,2026-02-07T16:49:08.685Z,44.84,1,37,#131c5f,พรรคภูมิใจไทย
จักรัตน์ พั้วช่วย,37339,5,2026-02-07T16:49:09.633Z,43.68,2,42,#44a26e,พรรคกล้าธรรม
รวงทิพร แสนคำภูเขตต์,7300,2,2026-02-07T16:49:05.703Z,8.54,3,46,#ff6412,พรรคประชาชน
ธนะโรจน์ อัครกิจชัยนนท์,794,6,2026-02-07T16:49:10.889Z,0.93,4,9,#fe0000,พรรคเพื่อไทย
จำเนียร โฉมงาม,583,10,2026-02-07T16:49:14.267Z,0.68,5,11,#febd2f,พรรคเศรษฐกิจ
ประเสริฐ ฤทธิ์คุ้ม,509,1,2026-02-07T16:49:04.214Z,0.6,6,27,#70c0fd,พรรคประชาธิปัตย์
นธพร ตันติบูล,278,3,2026-02-07T16:49:07.314Z,0.33,7,23,#293f8b,พรรคปวงชนไทย
วงศ์วิศว์ ผลลอย,193,9,2026-02-07T16:49:13.980Z,0.23,8,43,#096735,พรรคพลังประชารัฐ
บัณฑิต บุญอุดมกิจ,86,7,2026-02-07T16:49:12.802Z,0.1,9,53,#1f2587,พรรคไทยพิทักษ์ธรรม
มนตรี ผลจันทร์,66,8,2026-02-07T16:49:13.129Z,0.08,10,51,#fe0000,พรรคพร้อม
