word,provinceWord,provinceId,areaWords,areaId,local_district,sub_district,zip_code
เขตประเวศ > ดอกไม้ > 10250,กรุงเทพมหานคร,10,กรุงเทพมหานคร เขต 21,21,เขตประเวศ,ดอกไม้,10250
เขตประเวศ > ประเวศ > 10250,กรุงเทพมหานคร,10,กรุงเทพมหานคร เขต 21,21,เขตประเวศ,ประเวศ,10250
เขตประเวศ > สวนหลวง > 10250,กรุงเทพมหานคร,10,กรุงเทพมหานคร เขต 21,21,เขตประเวศ,สวนหลวง,10250
เขตสะพานสูง > ทับช้าง > 10250,กรุงเทพมหานคร,10,กรุงเทพมหานคร เขต 21,21,เขตสะพานสูง,ทับช้าง,10250
เมืองปทุมธานี > บางขะแยง > 12000,ปทุมธานี,13,ปทุมธานี เขต 1,1,เมืองปทุมธานี,บางขะแยง,12000
เมืองปทุมธานี > บางคูวัด > 12000,ปทุมธานี,13,ปทุมธานี เขต 1,1,เมืองปทุมธานี,บางคูวัด,12000
เมืองปทุมธานี > บางหลวง > 12000,ปทุมธานี,13,ปทุมธานี เขต 1,1,เมืองปทุมธานี,บางหลวง,12000
เมืองปทุมธานี > บางเดื่อ > 12000,ปทุมธานี,13,ปทุมธานี เขต 1,1,เมืองปทุมธานี,บางเดื่อ,12000
เมืองปทุมธานี > บ้านฉาง > 12000,ปทุมธานี,13,ปทุมธานี เขต 1,1,เมืองปทุมธานี,บ้านฉาง,12000
ลาดหลุมแก้ว > คลองพระอุดม > 12140,ปทุมธานี,13,ปทุมธานี เขต 1,1,ลาดหลุมแก้ว,คลองพระอุดม,12140
ลาดหลุมแก้ว > คูขวาง > 12140,ปทุมธานี,13,ปทุมธานี เขต 1,1,ลาดหลุมแก้ว,คูขวาง,12140
ลาดหลุมแก้ว > คูบางหลวง > 12140,ปทุมธานี,13,ปทุมธานี เขต 1,1,ลาดหลุมแก้ว,คูบางหลวง,12140
ลาดหลุมแก้ว > บ่อเงิน > 12140,ปทุมธานี,13,ปทุมธานี เขต 1,1,ลาดหลุมแก้ว,บ่อเงิน,12140
ลาดหลุมแก้ว > ระแหง > 12140,ปทุมธานี,13,ปทุมธานี เขต 1,1,ลาดหลุมแก้ว,ระแหง,12140
ลาดหลุมแก้ว > ลาดหลุมแก้ว > 12140,ปทุมธานี,13,ปทุมธานี เขต 1,1,ลาดหลุมแก้ว,ลาดหลุมแก้ว,12140
